
0,0.00,49997,235,0,24906
,0.00,49996,1240,0,24806
110.05
1000.00,5.00,-0.00,0.00,49997,234,0,24856
110.17
1000.00,5.00,-0.00,0.00,49997,235,0,24906
,0.00,49996,1240,0,24806
110.05
1000.00,5.00,-0.00,0.00,49997,234,0,24856
110.17
1000.00,5.00,-0.00,0.00,49997,235,0,24906
CAN BUS Shield init ok!
Interrupt init ok!
EPOS enabled
Max Following Error set as 2000qc
Max Aceeleration set as 5000rpm/s
Max Profile Velocity set as 2000rpm
Min Position Limit defined as -300000qc
Min Position Limit defined as 300000qc
TPDO Configured!
State: Operational
108.55
1000.00,0.00,0.00,20000.00,0,0,0,320
121.39
1000.00,0.00,100.00,10000.00,43344,60575,0,346
126.36
1000.00,0.50,150.00,3000.00,40780,60711,0,396
133.13
1000.00,1.25,165.00,-1500.00,37795,59327,0,446
137.88
1000.00,2.08,157.50,-4050.00,34471,62092,0,497
143.05
1000.00,2.86,137.25,-5175.00,31275,160,0,547
144.89
1000.00,3.55,111.37,-5332.50,28526,85,0,598
148.34
1000.00,4.11,84.71,-4893.75,26195,1149,0,648
153.92
1000.00,4.53,60.24,-4141.13,24285,555,0,698
156.72
1000.00,4.83,39.54,-3275.44,22783,434,0,749
156.75
1000.00,5.03,23.16,-2428.48,21697,887,0,799
159.54
1000.00,5.14,11.02,-1677.46,21025,1022,0,849
160.91
1000.00,5.20,2.63,-1059.10,20771,1731,0,900
160.87
1000.00,5.21,-2.66,-582.18,20927,2977,0,951
159.39
1000.00,5.20,-5.58,-237.80,21509,3486,0,1001
152.06
1000.00,5.17,-6.76,-7.40,22512,3753,0,1051
155.61
1000.00,5.14,-6.80,131.58,23935,4173,0,1101
151.31
1000.00,5.10,-6.14,201.81,25773,5320,0,1152
148.70
1000.00,5.07,-5.13,223.77,28025,4992,0,1203
144.37
1000.00,5.05,-4.02,214.57,30693,4923,0,1253
137.76
1000.00,5.03,-2.94,187.59,33783,5547,0,1303
136.06
1000.00,5.01,-2.00,152.65,37139,2990,0,1353
133.40
1000.00,5.00,-1.24,116.41,40823,65448,0,1404
127.42
1000.00,5.00,-0.66,83.03,43413,428,0,1455
125.04
1000.00,4.99,-0.24,54.70,45582,472,0,1505
117.86
1000.00,4.99,0.03,32.23,47341,64478,0,1555
113.32
1000.00,4.99,0.19,15.53,48687,64819,0,1605
112.84
1000.00,4.99,0.27,3.95,49615,64338,0,1656
111.60
1000.00,4.99,0.29,-3.39,50128,64143,0,1707
110.63
1000.00,5.00,0.27,-7.45,50228,62536,0,1757
109.28
1000.00,5.00,0.23,-9.15,49966,2305,0,1807
109.14
1000.00,5.00,0.19,-9.25,49950,64187,0,1858
107.52
1000.00,5.00,0.14,-8.39,49966,64663,0,1908
109.87
1000.00,5.00,0.10,-7.03,49976,1321,0,1958
107.24
1000.00,5.00,0.06,-5.51,49993,63424,0,2009
106.78
1000.00,5.00,0.04,-4.05,49996,978,0,2059
110.24
1000.00,5.00,0.02,-2.77,49997,823,0,2110
108.09
1000.00,5.00,0.00,-1.72,49999,65349,0,2160
107.03
1000.00,5.00,-0.01,-0.92,49997,1843,0,2210
107.36
1000.00,5.00,-0.01,-0.35,49999,592,0,2260
106.48
1000.00,5.00,-0.01,0.03,50000,49,0,2311
107.60
1000.00,5.00,-0.01,0.25,49999,656,0,2362
107.12
1000.00,5.00,-0.01,0.36,49999,562,0,2412
106.79
1000.00,5.00,-0.01,0.39,50000,65226,0,2462
106.18
1000.00,5.00,-0.01,0.37,49998,979,0,2512
107.43
1000.00,5.00,-0.00,0.32,49997,1318,0,2564
106.43
1000.00,5.00,-0.00,0.26,49998,235,0,2614
105.94
1000.00,5.00,-0.00,0.20,49998,35,0,2664
106.55
1000.00,5.00,-0.00,0.14,49998,65370,0,2714
106.60
1000.00,5.00,-0.00,0.09,49997,64,0,2764
106.43
1000.00,5.00,0.00,0.05,49997,33,0,2816
106.27
1000.00,5.00,0.00,0.02,49997,65476,0,2866
106.05
1000.00,5.00,0.00,0.00,49996,142,0,2916
105.37
1000.00,5.00,0.00,-0.01,49996,65385,0,2967
106.10
1000.00,5.00,0.00,-0.01,49994,298,0,3017
105.41
1000.00,5.00,0.00,-0.02,49995,529,0,3067
104.80
1000.00,5.00,0.00,-0.02,49995,560,0,3118
105.40
1000.00,5.00,0.00,-0.01,49997,64239,0,3168
105.48
1000.00,5.00,0.00,-0.01,49996,18,0,3219
104.40
1000.00,5.00,0.00,-0.01,49996,513,0,3269
104.73
1000.00,5.00,0.00,-0.01,49996,142,0,3319
104.37
1000.00,5.00,0.00,-0.01,49996,282,0,3369
104.24
1000.00,5.00,0.00,-0.00,49993,2540,0,3421
104.59
1000.00,5.00,-0.00,-0.00,49997,436,0,3471
103.59
1000.00,5.00,-0.00,-0.00,49996,560,0,3521
104.24
1000.00,5.00,-0.00,0.00,49997,282,0,3571
104.36
1000.00,5.00,-0.00,0.00,49996,869,0,3621
103.80
1000.00,5.00,-0.00,0.00,49996,729,0,3673
103.57
1000.00,5.00,-0.00,0.00,49997,298,0,3723
103.61
1000.00,5.00,-0.00,0.00,49996,1086,0,3773
103.15
1000.00,5.00,-0.00,0.00,49997,64826,0,3823
Position Zero107.59,5.00,-0.00,0.00,49998,1086,8544,4025
116.12,5.00,-0.00,0.00,49998,1086,8544,4125
124.48,5.00,-0.00,0.00,49998,60111,8544,4227
136.29,5.00,-0.00,0.00,49998,60111,8544,4327
156.10,5.00,-0.00,0.00,49998,62617,8544,4530
163.65,5.00,-0.00,0.00,49998,49,8544,4687
168.27,5.00,-0.00,0.00,49998,49,8544,4730
170.73,5.00,-0.00,0.00,49998,49,8544,4782
165.82,5.00,-0.00,0.00,2929,49,8544,4882
166.74,5.00,-0.00,0.00,2929,49,8544,4932
169.25,5.00,-0.00,0.00,2929,49,8544,4987
171.75,5.00,-0.00,0.00,4294967292,127,8544,5337
172.37,5.00,-0.00,0.00,4294967292,1070,8544,5790
171.60,5.00,-0.00,0.00,4294967292,1070,8544,5840
171.80,5.00,-0.00,0.00,4294967292,1070,8544,6295
171.87,5.00,-0.00,0.00,4294967292,375,8544,6395
172.17,5.00,-0.00,0.00,4294967292,375,8544,6497
171.93,5.00,-0.00,0.00,4294967293,375,8544,6699
171.81,5.00,-0.00,0.00,4294967293,375,8544,6799
171.09,5.00,-0.00,0.00,4294967293,375,8544,6857
171.15,5.00,-0.00,0.00,4294967293,375,8544,6900
171.31,5.00,-0.00,0.00,4294967293,375,8544,7102
170.93,5.00,-0.00,0.00,4294967293,375,8544,7202
170.22,5.00,-0.00,0.00,4294967293,375,8544,7606
170.63,5.00,-0.00,0.00,4294967293,64343,8544,7809
170.72,5.00,-0.00,0.00,4294967293,64343,8544,7959
170.79,5.00,-0.00,0.00,4294967293,64343,8544,8010
170.76,5.00,-0.00,0.00,4294967293,64343,8544,8060
170.32,5.00,-0.00,0.00,4294967293,64343,8544,8212
170.66,5.00,-0.00,0.00,4294967293,64343,8544,8312
169.51,5.00,-0.00,0.00,4294967293,64343,8544,8564
169.58,5.00,-0.00,0.00,4294967293,64343,8544,8716
170.09,5.00,-0.00,0.00,4294967293,64343,8544,8918
State: DifferentialControl
169.01
1000.00,5.00,-0.00,0.00,4294967293,64343,410112,9120
167.46
1000.00,5.00,-0.00,0.00,132,3663,19685376,9170
165.41
1000.00,5.00,-0.00,0.00,700,4302,944898048,9221
165.97
1000.00,5.00,-0.00,0.00,1697,4181,2405433344,9271
162.22
1000.00,5.00,-0.00,0.00,3111,3915,3791650816,9322
165.17
1000.00,5.00,-0.00,0.00,4937,4972,1610612736,9372
164.59
1000.00,5.00,-0.00,0.00,7177,4861,0,9422
161.81
1000.00,5.00,-0.00,0.00,9838,5032,0,9473
160.33
1000.00,5.00,-0.00,0.00,12910,5198,0,9523
160.32
1000.00,5.00,-0.00,0.00,16264,2624,0,9573
155.42
1000.00,5.00,-0.00,0.00,19597,3100,0,9624
152.82
1000.00,5.00,-0.00,0.00,23597,2987,0,9674
142.92
1000.00,5.00,-0.00,0.00,26925,2903,0,9724
136.16
1000.00,5.00,-0.00,0.00,30262,3356,0,9775
134.01
1000.00,5.00,-0.00,0.00,33596,2904,0,9825
124.35
1000.00,5.00,-0.00,0.00,36936,2033,0,9876
120.18
1000.00,5.00,-0.00,0.00,40040,418,0,9926
119.34
1000.00,5.00,-0.00,0.00,42716,64879,0,9976
111.15
1000.00,5.00,-0.00,0.00,44963,65381,0,10027
107.03
1000.00,5.00,-0.00,0.00,46800,65343,0,10078
103.36
1000.00,5.00,-0.00,0.00,48223,64413,0,10128
100.29
1000.00,5.00,-0.00,0.00,49228,64518,0,10178
99.85
1000.00,5.00,-0.00,0.00,49821,64235,0,10228
99.91
1000.00,5.00,-0.00,0.00,50003,64335,0,10279
97.40
1000.00,5.00,-0.00,0.00,49985,1142,0,10330
96.07
1000.00,5.00,-0.00,0.00,49990,65393,0,10380
94.17
1000.00,5.00,-0.00,0.00,49991,196,0,10430
95.62
1000.00,5.00,-0.00,0.00,49992,367,0,10480
94.75
1000.00,5.00,-0.00,0.00,49995,51,0,10531
93.60
1000.00,5.00,-0.00,0.00,49994,1646,0,10582
94.26
1000.00,5.00,-0.00,0.00,49996,483,0,10632
93.89
1000.00,5.00,-0.00,0.00,49996,514,0,10682
93.42
1000.00,5.00,-0.00,0.00,49998,65524,0,10733
92.75
1000.00,5.00,-0.00,0.00,49997,467,0,10783
92.90
1000.00,5.00,-0.00,0.00,49998,65164,0,10833
93.17
1000.00,5.00,-0.00,0.00,49998,65475,0,10884
93.77
1000.00,5.00,-0.00,0.00,49998,65414,0,10935
93.04
1000.00,5.00,-0.00,0.00,49999,63822,0,10985
93.16
1000.00,5.00,-0.00,0.00,49997,375,0,11035
93.71
1000.00,5.00,-0.00,0.00,49997,328,0,11085
92.66
1000.00,5.00,-0.00,0.00,49997,328,0,11136
92.78
1000.00,5.00,-0.00,0.00,49999,64902,0,11187
93.05
1000.00,5.00,-0.00,0.00,49997,344,0,11237
92.57
1000.00,5.00,-0.00,0.00,49997,469,0,11287
91.67
1000.00,5.00,-0.00,0.00,49997,344,0,11337
91.86
1000.00,5.00,-0.00,0.00,49997,344,0,11387
91.71
1000.00,5.00,-0.00,0.00,49997,344,0,11439
91.11
1000.00,5.00,-0.00,0.00,49996,2028,0,11489
91.31
1000.00,5.00,-0.00,0.00,49997,204,0,11539
90.74
1000.00,5.00,-0.00,0.00,49997,344,0,11589
91.05
1000.00,5.00,-0.00,0.00,49997,421,0,11640
90.41
1000.00,5.00,-0.00,0.00,49998,543,0,11691
91.32
1000.00,5.00,-0.00,0.00,49997,49,0,11741
91.37
1000.00,5.00,-0.00,0.00,49997,297,0,11791
90.72
1000.00,5.00,-0.00,0.00,49997,282,0,11842
91.16
1000.00,5.00,-0.00,0.00,49998,269,0,11892
90.98
1000.00,5.00,-0.00,0.00,49997,219,0,11942
90.57
1000.00,5.00,-0.00,0.00,49997,250,0,11993
90.53
1000.00,5.00,-0.00,0.00,49997,298,0,12043
90.20
1000.00,5.00,-0.00,0.00,49997,313,0,12094
90.16
1000.00,5.00,-0.00,0.00,49997,235,0,12144
90.02
1000.00,5.00,-0.00,0.00,49997,266,0,12194
88.58
